Units,Timepoint,1.10: Information & Communications,1.11: Finance & Insurance,1.12: Real Estate,1.13: Professional Services,1.14: Administrative & Support Services,"1.15: Education, Health & Social Services","1.16: Arts, Entertainment, Recreation & Other Services",1.17: Others,1.1: Manufacturing,1.2: Construction,1.4: Wholesale Trade,1.5: Retail Trade,1.6: Transportation & Storage,1.8: Accommodation,1.9: Food & Beverage Services,1: Total
Number,1990-01-31,20.0,27.0,28.0,70.0,69.0,24.0,85.0,8.0,142.0,156.0,343.0,216.0,56.0,2.0,51.0,1297.0
Number,1990-02-28,16.0,24.0,23.0,52.0,61.0,24.0,69.0,7.0,117.0,127.0,323.0,210.0,48.0,1.0,43.0,1145.0
Number,1990-03-31,19.0,20.0,33.0,75.0,76.0,21.0,92.0,14.0,152.0,155.0,396.0,216.0,64.0,1.0,66.0,1400.0
Number,1990-04-30,10.0,13.0,41.0,59.0,54.0,17.0,77.0,13.0,146.0,126.0,320.0,217.0,73.0,1.0,68.0,1235.0
Number,1990-05-31,18.0,21.0,29.0,69.0,55.0,20.0,100.0,7.0,129.0,137.0,366.0,216.0,61.0,1.0,65.0,1294.0
Number,1990-06-30,12.0,20.0,39.0,87.0,68.0,16.0,96.0,13.0,166.0,173.0,439.0,255.0,70.0,0.0,76.0,1530.0
Number,1990-07-31,21.0,32.0,38.0,69.0,64.0,32.0,100.0,11.0,150.0,166.0,396.0,291.0,59.0,2.0,78.0,1509.0
Number,1990-08-31,17.0,19.0,33.0,60.0,46.0,20.0,84.0,6.0,141.0,103.0,335.0,187.0,54.0,1.0,42.0,1148.0
Number,1990-09-30,19.0,25.0,32.0,45.0,39.0,16.0,69.0,11.0,97.0,95.0,294.0,194.0,50.0,2.0,50.0,1038.0
Number,1990-10-31,17.0,30.0,26.0,52.0,56.0,15.0,66.0,9.0,101.0,107.0,310.0,231.0,47.0,0.0,36.0,1103.0
Number,1990-11-30,12.0,20.0,22.0,63.0,53.0,22.0,61.0,11.0,115.0,103.0,328.0,235.0,56.0,3.0,61.0,1165.0
Number,1990-12-31,20.0,28.0,45.0,63.0,56.0,15.0,85.0,28.0,169.0,178.0,399.0,332.0,77.0,1.0,67.0,1563.0
Number,1991-01-31,23.0,29.0,33.0,59.0,45.0,16.0,70.0,16.0,125.0,89.0,320.0,249.0,51.0,3.0,57.0,1185.0
Number,1991-02-28,9.0,25.0,19.0,44.0,40.0,12.0,54.0,16.0,100.0,95.0,250.0,161.0,46.0,0.0,40.0,911.0
Number,1991-03-31,19.0,20.0,24.0,59.0,49.0,28.0,51.0,12.0,124.0,114.0,304.0,215.0,70.0,0.0,46.0,1135.0
Number,1991-04-30,16.0,18.0,28.0,77.0,36.0,23.0,61.0,12.0,147.0,135.0,307.0,192.0,64.0,1.0,47.0,1164.0
Number,1991-05-31,13.0,18.0,24.0,48.0,36.0,26.0,69.0,7.0,116.0,88.0,267.0,162.0,60.0,1.0,49.0,984.0
Number,1991-06-30,20.0,21.0,41.0,53.0,38.0,24.0,56.0,8.0,108.0,94.0,288.0,189.0,59.0,0.0,38.0,1037.0
Number,1991-07-31,47.0,33.0,106.0,163.0,162.0,45.0,189.0,27.0,305.0,386.0,787.0,483.0,163.0,3.0,146.0,3045.0
Number,1991-08-31,17.0,25.0,39.0,68.0,51.0,26.0,61.0,10.0,135.0,100.0,285.0,165.0,53.0,1.0,62.0,1098.0
Number,1991-09-30,14.0,29.0,29.0,58.0,35.0,12.0,68.0,4.0,117.0,105.0,319.0,166.0,52.0,1.0,64.0,1073.0
Number,1991-10-31,33.0,43.0,65.0,119.0,112.0,36.0,170.0,17.0,229.0,253.0,553.0,336.0,98.0,1.0,108.0,2173.0
Number,1991-11-30,14.0,15.0,22.0,60.0,40.0,10.0,58.0,4.0,94.0,117.0,238.0,146.0,45.0,0.0,53.0,916.0
Number,1991-12-31,16.0,31.0,41.0,77.0,59.0,26.0,75.0,10.0,183.0,151.0,377.0,233.0,79.0,1.0,53.0,1412.0
Number,1992-01-31,31.0,53.0,71.0,118.0,98.0,43.0,122.0,20.0,224.0,238.0,561.0,326.0,95.0,1.0,106.0,2107.0
Number,1992-02-29,23.0,28.0,35.0,63.0,60.0,19.0,67.0,8.0,154.0,128.0,351.0,179.0,62.0,0.0,43.0,1220.0
Number,1992-03-31,30.0,32.0,49.0,81.0,63.0,33.0,86.0,6.0,149.0,148.0,390.0,207.0,76.0,2.0,48.0,1400.0
Number,1992-04-30,29.0,40.0,70.0,79.0,61.0,20.0,81.0,11.0,185.0,158.0,453.0,191.0,80.0,1.0,53.0,1512.0
Number,1992-05-31,20.0,50.0,45.0,83.0,50.0,21.0,54.0,11.0,172.0,124.0,441.0,195.0,78.0,2.0,49.0,1395.0
Number,1992-06-30,33.0,48.0,50.0,105.0,69.0,29.0,91.0,9.0,190.0,175.0,490.0,258.0,83.0,2.0,79.0,1711.0
Number,1992-07-31,18.0,43.0,39.0,77.0,47.0,19.0,64.0,10.0,148.0,153.0,400.0,200.0,76.0,1.0,62.0,1357.0
Number,1992-08-31,15.0,25.0,54.0,67.0,48.0,23.0,41.0,8.0,124.0,120.0,383.0,183.0,72.0,3.0,55.0,1221.0
Number,1992-09-30,22.0,41.0,40.0,62.0,54.0,20.0,80.0,8.0,135.0,118.0,335.0,187.0,55.0,1.0,68.0,1226.0
Number,1992-10-31,22.0,30.0,27.0,68.0,48.0,13.0,71.0,6.0,108.0,131.0,324.0,197.0,55.0,1.0,62.0,1163.0
Number,1992-11-30,16.0,25.0,27.0,66.0,51.0,20.0,63.0,6.0,131.0,114.0,319.0,169.0,51.0,3.0,51.0,1112.0
Number,1992-12-31,19.0,42.0,47.0,98.0,66.0,25.0,96.0,10.0,162.0,142.0,465.0,270.0,90.0,1.0,72.0,1605.0
Number,1993-01-31,19.0,40.0,49.0,76.0,59.0,17.0,57.0,12.0,167.0,121.0,378.0,199.0,77.0,0.0,52.0,1323.0
Number,1993-02-28,15.0,33.0,34.0,74.0,50.0,18.0,65.0,10.0,151.0,136.0,392.0,198.0,63.0,1.0,48.0,1288.0
Number,1993-03-31,25.0,39.0,61.0,97.0,50.0,32.0,88.0,6.0,144.0,139.0,454.0,250.0,83.0,3.0,56.0,1527.0
Number,1993-04-30,18.0,27.0,43.0,92.0,53.0,22.0,67.0,7.0,127.0,135.0,362.0,236.0,44.0,1.0,53.0,1287.0
Number,1993-05-31,53.0,41.0,100.0,177.0,138.0,42.0,189.0,24.0,230.0,328.0,719.0,421.0,153.0,0.0,112.0,2727.0
Number,1993-06-30,44.0,57.0,105.0,190.0,151.0,61.0,202.0,17.0,331.0,388.0,871.0,483.0,176.0,4.0,152.0,3232.0
Number,1993-07-31,24.0,25.0,40.0,93.0,64.0,24.0,80.0,7.0,174.0,179.0,378.0,241.0,77.0,1.0,64.0,1471.0
Number,1993-08-31,24.0,26.0,56.0,85.0,48.0,27.0,94.0,13.0,173.0,198.0,352.0,247.0,80.0,2.0,80.0,1505.0
Number,1993-09-30,25.0,33.0,54.0,83.0,68.0,19.0,87.0,10.0,160.0,174.0,418.0,255.0,70.0,1.0,68.0,1525.0
Number,1993-10-31,25.0,25.0,48.0,114.0,64.0,22.0,86.0,9.0,180.0,161.0,422.0,264.0,73.0,5.0,78.0,1576.0
Number,1993-11-30,40.0,32.0,69.0,105.0,67.0,24.0,105.0,7.0,156.0,168.0,446.0,232.0,76.0,1.0,91.0,1619.0
Number,1993-12-31,49.0,33.0,47.0,119.0,64.0,38.0,101.0,16.0,197.0,175.0,542.0,296.0,91.0,1.0,73.0,1842.0
Number,1994-01-31,45.0,36.0,66.0,129.0,99.0,35.0,117.0,9.0,217.0,222.0,628.0,286.0,120.0,1.0,89.0,2099.0
Number,1994-02-28,32.0,22.0,70.0,111.0,83.0,26.0,99.0,13.0,167.0,225.0,514.0,253.0,84.0,1.0,66.0,1766.0
Number,1994-03-31,25.0,45.0,71.0,106.0,84.0,32.0,139.0,8.0,245.0,250.0,603.0,299.0,105.0,1.0,92.0,2105.0
Number,1994-04-30,43.0,35.0,56.0,112.0,82.0,34.0,102.0,16.0,213.0,235.0,585.0,306.0,110.0,0.0,85.0,2014.0
Number,1994-05-31,32.0,33.0,47.0,109.0,72.0,26.0,90.0,8.0,185.0,210.0,531.0,291.0,87.0,2.0,76.0,1799.0
Number,1994-06-30,35.0,30.0,75.0,116.0,69.0,33.0,117.0,9.0,203.0,188.0,541.0,308.0,95.0,2.0,75.0,1896.0
Number,1994-07-31,31.0,24.0,58.0,111.0,51.0,29.0,95.0,10.0,193.0,206.0,539.0,273.0,93.0,1.0,88.0,1802.0
Number,1994-08-31,41.0,31.0,60.0,122.0,68.0,30.0,114.0,6.0,173.0,208.0,545.0,265.0,103.0,2.0,88.0,1856.0
Number,1994-09-30,38.0,28.0,59.0,121.0,58.0,29.0,132.0,13.0,182.0,190.0,524.0,236.0,83.0,2.0,72.0,1767.0
Number,1994-10-31,31.0,34.0,48.0,82.0,44.0,31.0,81.0,6.0,146.0,156.0,370.0,206.0,69.0,0.0,59.0,1363.0
Number,1994-11-30,38.0,28.0,46.0,93.0,55.0,36.0,103.0,9.0,153.0,164.0,432.0,228.0,86.0,4.0,62.0,1537.0
Number,1994-12-31,38.0,40.0,55.0,144.0,64.0,38.0,99.0,8.0,165.0,162.0,514.0,264.0,84.0,2.0,87.0,1764.0
Number,1995-01-31,49.0,44.0,95.0,164.0,86.0,32.0,148.0,17.0,238.0,300.0,703.0,386.0,130.0,1.0,126.0,2519.0
Number,1995-02-28,21.0,31.0,55.0,107.0,70.0,25.0,110.0,11.0,159.0,206.0,491.0,224.0,118.0,1.0,73.0,1702.0
Number,1995-03-31,51.0,33.0,58.0,123.0,67.0,28.0,133.0,13.0,207.0,246.0,545.0,271.0,123.0,1.0,89.0,1988.0
Number,1995-04-30,37.0,26.0,57.0,124.0,64.0,25.0,121.0,13.0,183.0,250.0,490.0,269.0,109.0,2.0,74.0,1844.0
Number,1995-05-31,28.0,25.0,46.0,86.0,47.0,22.0,73.0,4.0,143.0,128.0,365.0,224.0,72.0,0.0,65.0,1328.0
Number,1995-06-30,29.0,22.0,51.0,80.0,43.0,31.0,74.0,7.0,136.0,134.0,357.0,198.0,69.0,0.0,49.0,1280.0
Number,1995-07-31,22.0,25.0,55.0,93.0,52.0,31.0,82.0,3.0,112.0,119.0,325.0,188.0,70.0,2.0,69.0,1248.0
Number,1995-08-31,28.0,31.0,47.0,96.0,45.0,25.0,82.0,4.0,119.0,145.0,348.0,180.0,62.0,1.0,78.0,1291.0
Number,1995-09-30,71.0,36.0,110.0,182.0,119.0,47.0,198.0,14.0,337.0,515.0,891.0,425.0,182.0,3.0,145.0,3275.0
Number,1995-10-31,29.0,29.0,55.0,101.0,49.0,26.0,73.0,5.0,143.0,152.0,399.0,194.0,64.0,4.0,82.0,1405.0
Number,1995-11-30,29.0,35.0,41.0,88.0,47.0,31.0,80.0,3.0,105.0,122.0,343.0,172.0,75.0,0.0,63.0,1234.0
Number,1995-12-31,78.0,59.0,115.0,266.0,138.0,69.0,254.0,14.0,363.0,472.0,1060.0,488.0,168.0,2.0,183.0,3729.0
Number,1996-01-31,46.0,29.0,49.0,137.0,72.0,45.0,114.0,13.0,172.0,198.0,506.0,280.0,100.0,1.0,84.0,1846.0
Number,1996-02-29,41.0,34.0,43.0,114.0,54.0,31.0,95.0,4.0,161.0,182.0,437.0,226.0,81.0,3.0,93.0,1599.0
Number,1996-03-31,53.0,44.0,55.0,140.0,78.0,46.0,105.0,13.0,244.0,240.0,564.0,295.0,99.0,6.0,91.0,2073.0
Number,1996-04-30,43.0,30.0,56.0,162.0,50.0,42.0,133.0,7.0,215.0,246.0,558.0,308.0,99.0,4.0,107.0,2060.0
Number,1996-05-31,42.0,33.0,51.0,148.0,58.0,30.0,114.0,9.0,202.0,224.0,522.0,270.0,99.0,1.0,113.0,1916.0
Number,1996-06-30,55.0,29.0,57.0,165.0,63.0,39.0,132.0,17.0,201.0,247.0,550.0,266.0,95.0,2.0,89.0,2007.0
Number,1996-07-31,34.0,33.0,39.0,97.0,51.0,29.0,79.0,13.0,154.0,158.0,369.0,190.0,67.0,3.0,67.0,1383.0
Number,1996-08-31,54.0,46.0,63.0,162.0,68.0,43.0,124.0,8.0,205.0,208.0,550.0,281.0,96.0,2.0,98.0,2008.0
Number,1996-09-30,46.0,26.0,53.0,136.0,56.0,51.0,106.0,10.0,195.0,213.0,529.0,280.0,89.0,4.0,89.0,1883.0
Number,1996-10-31,56.0,42.0,69.0,201.0,101.0,55.0,179.0,23.0,189.0,277.0,725.0,354.0,141.0,3.0,117.0,2532.0
Number,1996-11-30,38.0,31.0,39.0,91.0,49.0,27.0,59.0,5.0,132.0,119.0,324.0,184.0,78.0,1.0,53.0,1230.0
Number,1996-12-31,54.0,47.0,68.0,151.0,70.0,47.0,142.0,12.0,206.0,219.0,565.0,312.0,103.0,1.0,101.0,2098.0
Number,1997-01-31,54.0,37.0,81.0,181.0,51.0,63.0,141.0,14.0,224.0,275.0,635.0,311.0,119.0,2.0,121.0,2309.0
Number,1997-02-28,42.0,43.0,51.0,127.0,53.0,25.0,95.0,7.0,168.0,201.0,415.0,199.0,93.0,1.0,75.0,1595.0
Number,1997-03-31,58.0,36.0,55.0,168.0,63.0,48.0,90.0,14.0,195.0,268.0,544.0,293.0,111.0,6.0,100.0,2049.0
Number,1997-04-30,36.0,42.0,70.0,171.0,58.0,29.0,116.0,12.0,179.0,243.0,455.0,261.0,90.0,3.0,94.0,1859.0
Number,1997-05-31,60.0,25.0,64.0,150.0,65.0,47.0,107.0,8.0,201.0,215.0,479.0,255.0,95.0,4.0,96.0,1871.0
Number,1997-06-30,53.0,39.0,56.0,136.0,70.0,45.0,111.0,12.0,197.0,247.0,488.0,299.0,92.0,3.0,101.0,1949.0
Number,1997-07-31,44.0,40.0,60.0,161.0,59.0,48.0,110.0,5.0,168.0,252.0,494.0,259.0,99.0,6.0,84.0,1889.0
Number,1997-08-31,41.0,24.0,59.0,133.0,83.0,42.0,88.0,9.0,140.0,213.0,447.0,241.0,87.0,2.0,73.0,1682.0
Number,1997-09-30,45.0,38.0,65.0,131.0,68.0,44.0,100.0,11.0,149.0,212.0,500.0,267.0,75.0,3.0,96.0,1804.0
Number,1997-10-31,65.0,26.0,47.0,120.0,72.0,39.0,115.0,9.0,155.0,224.0,438.0,249.0,96.0,0.0,86.0,1741.0
Number,1997-11-30,46.0,35.0,43.0,140.0,51.0,40.0,98.0,15.0,124.0,189.0,419.0,209.0,72.0,4.0,82.0,1567.0
Number,1997-12-31,58.0,47.0,59.0,192.0,100.0,58.0,114.0,19.0,189.0,256.0,590.0,330.0,121.0,1.0,98.0,2232.0
Number,1998-01-31,62.0,41.0,52.0,136.0,67.0,41.0,83.0,6.0,151.0,193.0,477.0,217.0,81.0,3.0,65.0,1675.0
Number,1998-02-28,59.0,38.0,61.0,179.0,94.0,46.0,141.0,10.0,234.0,322.0,585.0,325.0,137.0,5.0,97.0,2333.0
Number,1998-03-31,62.0,36.0,64.0,161.0,76.0,41.0,121.0,2.0,207.0,269.0,559.0,297.0,128.0,1.0,98.0,2122.0
Number,1998-04-30,64.0,45.0,57.0,160.0,81.0,54.0,134.0,9.0,168.0,267.0,623.0,282.0,122.0,2.0,102.0,2170.0
Number,1998-05-31,54.0,33.0,44.0,153.0,75.0,33.0,102.0,11.0,177.0,239.0,439.0,252.0,104.0,2.0,99.0,1817.0
Number,1998-06-30,63.0,41.0,54.0,199.0,80.0,51.0,111.0,6.0,194.0,239.0,520.0,314.0,114.0,5.0,113.0,2104.0
Number,1998-07-31,59.0,40.0,57.0,181.0,111.0,56.0,125.0,12.0,198.0,259.0,571.0,318.0,99.0,3.0,93.0,2182.0
Number,1998-08-31,76.0,42.0,49.0,171.0,77.0,54.0,127.0,16.0,202.0,223.0,521.0,271.0,113.0,1.0,105.0,2048.0
Number,1998-09-30,75.0,41.0,43.0,175.0,72.0,39.0,135.0,8.0,163.0,240.0,513.0,291.0,105.0,2.0,88.0,1990.0
Number,1998-10-31,69.0,60.0,53.0,152.0,105.0,40.0,136.0,9.0,171.0,282.0,562.0,331.0,108.0,3.0,150.0,2231.0
Number,1998-11-30,75.0,64.0,89.0,174.0,109.0,53.0,156.0,12.0,223.0,346.0,625.0,338.0,100.0,3.0,139.0,2506.0
Number,1998-12-31,77.0,54.0,74.0,193.0,84.0,44.0,127.0,10.0,194.0,255.0,601.0,339.0,113.0,2.0,106.0,2273.0
Number,1999-01-31,59.0,43.0,48.0,143.0,71.0,58.0,101.0,6.0,161.0,217.0,416.0,235.0,116.0,3.0,77.0,1754.0
Number,1999-02-28,63.0,67.0,53.0,172.0,84.0,51.0,128.0,10.0,160.0,233.0,556.0,221.0,100.0,1.0,94.0,1993.0
Number,1999-03-31,68.0,68.0,75.0,199.0,104.0,44.0,152.0,14.0,214.0,339.0,627.0,344.0,148.0,1.0,115.0,2512.0
